,index,match_api_id,country,season,comment,stats,event_incident_typefk,elapsed,player2,subtype,player1,sortorder,team,id,n,type,goal_type,elapsed_plus,coordinates,del
0,0,489042.0,England,2008/2009,n,,406,22,38807.0,header,37799.0,5,10261.0,378998,295,goal,n,,,
1,1,489042.0,England,2008/2009,n,,393,24,24154.0,shot,24148.0,4,10260.0,379019,298,goal,n,,,
2,0,839802.0,England,2010/2011,n,,393,33,30373.0,shot,27430.0,3,10260.0,1132344,273,goal,n,,,
3,1,839802.0,England,2010/2011,n,,393,41,30829.0,shot,24148.0,2,10260.0,1132372,278,goal,n,,,
4,2,839802.0,England,2010/2011,n,,411,85,30373.0,volley,24154.0,2,10260.0,1132535,330,goal,n,,,
5,0,1024845.0,England,2011/2012,n,,80,49,,shot,70409.0,1,10260.0,1792856,329,goal,n,,,
6,1,1024845.0,England,2011/2012,p,,20,64,,,35411.0,0,10261.0,1793188,327,goal,p,,,
7,2,1024845.0,England,2011/2012,dg,,649,90,,tap_in,70409.0,3,10260.0,1793831,266,goal,dg,4.0,,
8,0,1229300.0,England,2012/2013,n,,131,4,,loose_ball,23579.0,2,10261.0,2525312,263,goal,n,,,
9,1,1229300.0,England,2012/2013,n,,649,25,,tap_in,43248.0,3,10260.0,2525586,281,goal,n,,,
10,2,1229300.0,England,2012/2013,o,,115,29,,,43248.0,0,10260.0,2525629,283,goal,o,,,
11,3,1229300.0,England,2012/2013,n,,39,58,,distance,32569.0,4,10260.0,2526097,324,goal,n,,,
12,4,1229300.0,England,2012/2013,n,,411,68,39968.0,volley,46700.0,4,10261.0,2526257,344,goal,n,,,
13,5,1229300.0,England,2012/2013,n,,393,71,34944.0,shot,30843.0,2,10260.0,2526310,345,goal,n,,,
14,6,1229300.0,England,2012/2013,n,,721,90,34944.0,tap_in,70409.0,4,10260.0,2526630,371,goal,n,,,
15,0,1474518.0,England,2013/2014,n,,393,61,94550.0,shot,26160.0,2,10261.0,3164565,306,goal,n,,,
16,1,1474518.0,England,2013/2014,dg,,299,72,,header,30843.0,3,10260.0,3164584,158,goal,dg,,,
17,0,1724158.0,England,2014/2015,n,,721,23,22543.0,tap_in,30829.0,2,10260.0,4034038,92,goal,n,,,
18,1,1724158.0,England,2014/2015,n,,393,36,41468.0,shot,30829.0,1,10260.0,4034275,127,goal,n,,,
19,2,1724158.0,England,2014/2015,n,,406,53,30829.0,header,30843.0,1,10260.0,4034581,173,goal,n,,,
20,3,1724158.0,England,2014/2015,p,,20,87,,,46700.0,0,10261.0,4035096,273,goal,p,,,
21,0,489063.0,England,2008/2009,p,,20,18,,,30843.0,1,9825.0,389918,219,goal,p,,,
22,1,489063.0,England,2008/2009,n,,393,42,30935.0,shot,30843.0,1,9825.0,390000,244,goal,n,,,
23,2,489063.0,England,2008/2009,n,,393,60,30960.0,shot,39297.0,2,9825.0,390139,267,goal,n,,,
24,0,839915.0,England,2010/2011,n,,406,45,24205.0,header,47382.0,15,10261.0,1261205,406,goal,n,,,
