,player_name,player_api_id,player_nation,season,team_long_name,team_api_id,season_player_age,market_val_amnt,player_pos,id,match_api_id,country,elapsed,card_type,elapsed_plus,team,birthday,height,weight
6276,Roman Hubnik,11027,Czech Republic,2009,Hertha BSC Berlin,8177,25,200000,CB,980324,674488,Germany,50,y,,Hertha BSC Berlin,1984-06-06,193,183
738,Antonio Candreva,11685,Italy,2009,Juventus,9885,22,2500000,RM,953720,704986,Italy,36,y,,Juventus,1987-02-28,180,154
739,Antonio Candreva,11685,Italy,2009,Juventus,9885,22,2500000,RM,977787,705256,Italy,7,y,,Juventus,1987-02-28,180,154
4445,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,809104,674348,Germany,56,y,,Borussia Dortmund,1984-11-13,187,185
4446,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,837435,674367,Germany,65,y,,Borussia Dortmund,1984-11-13,187,185
4447,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,935652,674443,Germany,61,y,,Borussia Dortmund,1984-11-13,187,185
4448,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,1035412,674542,Germany,90,y,,Borussia Dortmund,1984-11-13,187,185
4449,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,960749,674471,Germany,37,y,,Borussia Dortmund,1984-11-13,187,185
4450,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,731221,674281,Germany,17,y,,Borussia Dortmund,1984-11-13,187,185
1822,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,977374,684980,Spain,75,y,,Real Valladolid,1988-10-07,187,187
1823,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,891506,684791,Spain,90,y,,Real Valladolid,1988-10-07,187,187
1824,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,1009659,685051,Spain,36,r,,Real Valladolid,1988-10-07,187,187
1825,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,936660,684897,Spain,90,y,,Real Valladolid,1988-10-07,187,187
1826,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,881205,684780,Spain,61,y,,Real Valladolid,1988-10-07,187,187
1827,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,942909,684919,Spain,59,y,,Real Valladolid,1988-10-07,187,187
1828,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,1062288,685146,Spain,11,y,,Real Valladolid,1988-10-07,187,187
1829,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,825206,684711,Spain,30,y,,Real Valladolid,1988-10-07,187,187
1830,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,866333,684770,Spain,7,y,,Real Valladolid,1988-10-07,187,187
1831,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,814155,684697,Spain,9,y,,Real Valladolid,1988-10-07,187,187
5496,Nikola Kalinic,21613,Croatia,2009,Blackburn Rovers,8655,21,1500000,CF,877575,658824,England,64,y,,Blackburn Rovers,1988-01-05,187,176
5497,Nikola Kalinic,21613,Croatia,2009,Blackburn Rovers,8655,21,1500000,CF,976609,659092,England,56,y,,Blackburn Rovers,1988-01-05,187,176
2962,Greg Halford,23425,England,2009,Wolverhampton Wanderers,8602,25,100000,CB,778217,658672,England,57,y,,Wolverhampton Wanderers,1984-12-08,193,181
2447,Felix Bastians,23587,Germany,2009,SC Freiburg,8358,21,275000,CB,864771,674400,Germany,29,y,,SC Freiburg,1988-05-09,187,183
2448,Felix Bastians,23587,Germany,2009,SC Freiburg,8358,21,275000,CB,954728,674466,Germany,20,y,,SC Freiburg,1988-05-09,187,183
2449,Felix Bastians,23587,Germany,2009,SC Freiburg,8358,21,275000,CB,1067265,674570,Germany,47,y,,SC Freiburg,1988-05-09,187,183
2450,Felix Bastians,23587,Germany,2009,SC Freiburg,8358,21,275000,CB,855037,674386,Germany,60,y,,SC Freiburg,1988-05-09,187,183
6426,Scott Dann,23837,England,2009,Birmingham City,8658,22,1500000,CB,825352,658715,England,45,y,1.0,Birmingham City,1987-02-14,190,172
6427,Scott Dann,23837,England,2009,Birmingham City,8658,22,1500000,CB,948643,659070,England,45,y,1.0,Birmingham City,1987-02-14,190,172
6428,Scott Dann,23837,England,2009,Birmingham City,8658,22,1500000,CB,784807,658684,England,24,y,,Birmingham City,1987-02-14,190,172
6429,Scott Dann,23837,England,2009,Birmingham City,8658,22,1500000,CB,944275,659067,England,66,y,,Birmingham City,1987-02-14,190,172
2564,Fraizer Campbell,24157,England,2009,Sunderland,8472,22,700000,CF,1035514,659149,England,84,y,,Sunderland,1987-09-13,172,183
2565,Fraizer Campbell,24157,England,2009,Sunderland,8472,22,700000,CF,724404,658579,England,85,y,,Sunderland,1987-09-13,172,183
2566,Fraizer Campbell,24157,England,2009,Sunderland,8472,22,700000,CF,1058605,659170,England,85,y,,Sunderland,1987-09-13,172,183
4194,Leonardo Bonucci,24235,Italy,2009,Bari,9976,22,8000000,CB,912834,704726,Italy,74,y,,Bari,1987-05-01,190,190
4195,Leonardo Bonucci,24235,Italy,2009,Bari,9976,22,8000000,CB,1086719,704806,Italy,16,y,,Bari,1987-05-01,190,190
4196,Leonardo Bonucci,24235,Italy,2009,Bari,9976,22,8000000,CB,771380,704444,Italy,56,y,,Bari,1987-05-01,190,190
4197,Leonardo Bonucci,24235,Italy,2009,Bari,9976,22,8000000,CB,918815,704635,Italy,51,y,,Bari,1987-05-01,190,190
7121,Valeri Bojinov,24499,Bulgaria,2009,Parma,10167,23,150000,CF,964106,705221,Italy,88,y,,Parma,1986-02-15,180,159
7122,Valeri Bojinov,24499,Bulgaria,2009,Parma,10167,23,150000,CF,922581,704767,Italy,45,y,1.0,Parma,1986-02-15,180,159
1406,Cristian Molinaro,24791,Italy,2009,VfB Stuttgart,10269,26,200000,LB,1077908,674584,Germany,66,y,,VfB Stuttgart,1983-07-30,182,181
4739,Marco Rossi,25338,Italy,2009,Sampdoria,9882,22,50000,CB,914119,704715,Italy,50,y,,Sampdoria,1987-09-30,187,181
4740,Marco Rossi,25338,Italy,2009,Sampdoria,9882,22,50000,CB,900868,704673,Italy,66,y,,Sampdoria,1987-09-30,187,181
4741,Marco Rossi,25338,Italy,2009,Sampdoria,9882,22,50000,CB,944695,704946,Italy,83,y,,Sampdoria,1987-09-30,187,181
4742,Marco Rossi,25338,Italy,2009,Sampdoria,9882,22,50000,CB,857242,704581,Italy,66,y2,,Sampdoria,1987-09-30,187,181
4743,Marco Rossi,25338,Italy,2009,Sampdoria,9882,22,50000,CB,857383,704581,Italy,53,y,,Sampdoria,1987-09-30,187,181
4744,Marco Rossi,25338,Italy,2009,Sampdoria,9882,22,50000,CB,824157,704548,Italy,36,y,,Sampdoria,1987-09-30,187,181
4308,Lorenzo De Silvestri,25587,Italy,2009,Fiorentina,8535,21,1500000,RB,946440,704912,Italy,57,y,,Fiorentina,1988-05-23,185,185
4309,Lorenzo De Silvestri,25587,Italy,2009,Fiorentina,8535,21,1500000,RB,1069460,705240,Italy,43,y,,Fiorentina,1988-05-23,185,185
4310,Lorenzo De Silvestri,25587,Italy,2009,Fiorentina,8535,21,1500000,RB,868544,704593,Italy,28,y,,Fiorentina,1988-05-23,185,185
2942,Goran Pandev,25597,North Macedonia,2009,Inter,8636,26,500000,SS,948246,704790,Italy,19,y,,Inter,1983-07-27,182,165
2943,Goran Pandev,25597,North Macedonia,2009,Inter,8636,26,500000,SS,927294,704763,Italy,66,y,,Inter,1983-07-27,182,165
3895,Juan Pablo Carrizo,25735,Argentina,2009,Real Zaragoza,8394,25,150000,GK,946026,684918,Spain,34,y,,Real Zaragoza,1984-05-06,187,192
2172,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,904521,684836,Spain,31,y,,CD Tenerife,1986-11-19,177,163
2173,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,974336,684976,Spain,70,y,,CD Tenerife,1986-11-19,177,163
2174,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,786328,684661,Spain,90,y,1.0,CD Tenerife,1986-11-19,177,163
2175,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,936527,684893,Spain,76,y,,CD Tenerife,1986-11-19,177,163
2176,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,802412,684679,Spain,37,y,,CD Tenerife,1986-11-19,177,163
2177,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,1028737,685080,Spain,14,y,,CD Tenerife,1986-11-19,177,163
2178,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,775328,684648,Spain,63,y,,CD Tenerife,1986-11-19,177,163
2179,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,881173,684782,Spain,89,y,,CD Tenerife,1986-11-19,177,163
2180,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,763989,684612,Spain,23,y,,CD Tenerife,1986-11-19,177,163
2181,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,764270,684612,Spain,75,y2,,CD Tenerife,1986-11-19,177,163
2182,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,915145,684858,Spain,45,y,,CD Tenerife,1986-11-19,177,163
2183,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,860281,684761,Spain,87,y,,CD Tenerife,1986-11-19,177,163
2184,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,860292,684761,Spain,90,y2,,CD Tenerife,1986-11-19,177,163
2185,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,742276,684589,Spain,19,y,,CD Tenerife,1986-11-19,177,163
6934,Thomas Vermaelen,26005,Belgium,2009,Arsenal,9825,24,900000,CB,1004978,659120,England,44,r,,Arsenal,1985-11-14,182,176
6935,Thomas Vermaelen,26005,Belgium,2009,Arsenal,9825,24,900000,CB,819854,658716,England,78,y,,Arsenal,1985-11-14,182,176
6936,Thomas Vermaelen,26005,Belgium,2009,Arsenal,9825,24,900000,CB,928991,658965,England,13,y,,Arsenal,1985-11-14,182,176
6937,Thomas Vermaelen,26005,Belgium,2009,Arsenal,9825,24,900000,CB,915438,658953,England,77,y,,Arsenal,1985-11-14,182,176
2007,Edson Braafheid,26489,Netherlands,2009,FC Bayern Munich,9823,26,100000,LB,784596,674329,Germany,31,y,,FC Bayern Munich,1983-04-08,180,168
2033,Eljero Elia,26675,Netherlands,2009,Hamburger SV,9790,22,400000,LW,815026,674350,Germany,53,y,,Hamburger SV,1987-02-13,175,170
2034,Eljero Elia,26675,Netherlands,2009,Hamburger SV,9790,22,400000,LW,836454,674370,Germany,82,y,,Hamburger SV,1987-02-13,175,170
2035,Eljero Elia,26675,Netherlands,2009,Hamburger SV,9790,22,400000,LW,876599,674408,Germany,42,y,,Hamburger SV,1987-02-13,175,170
2036,Eljero Elia,26675,Netherlands,2009,Hamburger SV,9790,22,400000,LW,753879,674299,Germany,72,y,,Hamburger SV,1987-02-13,175,170
414,Alexander Baumjohann,27306,Germany,2009,FC Bayern Munich,9823,22,200000,AM,941076,674455,Germany,32,y,,FC Schalke 04,1987-01-23,177,165
4040,Kevin-Prince Boateng,27335,Ghana,2009,Portsmouth,8462,22,2000000,AM,928305,658959,England,67,y,,Portsmouth,1987-03-06,185,190
4041,Kevin-Prince Boateng,27335,Ghana,2009,Portsmouth,8462,22,2000000,AM,942210,658976,England,78,y,,Portsmouth,1987-03-06,185,190
4042,Kevin-Prince Boateng,27335,Ghana,2009,Portsmouth,8462,22,2000000,AM,935325,658969,England,75,y,,Portsmouth,1987-03-06,185,190
4043,Kevin-Prince Boateng,27335,Ghana,2009,Portsmouth,8462,22,2000000,AM,833045,658727,England,57,y,,Portsmouth,1987-03-06,185,190
4044,Kevin-Prince Boateng,27335,Ghana,2009,Portsmouth,8462,22,2000000,AM,785656,658680,England,84,y,,Portsmouth,1987-03-06,185,190
4045,Kevin-Prince Boateng,27335,Ghana,2009,Portsmouth,8462,22,2000000,AM,855466,658799,England,67,y,,Portsmouth,1987-03-06,185,190
6732,Stefan Maierhofer,27372,Austria,2009,Wolverhampton Wanderers,8602,27,50000,CF,799382,658692,England,85,y,,Wolverhampton Wanderers,1982-08-16,203,216
6733,Stefan Maierhofer,27372,Austria,2009,Wolverhampton Wanderers,8602,27,50000,CF,799642,658692,England,90,y2,3.0,Wolverhampton Wanderers,1982-08-16,203,216
1548,Daniele Dessena,27672,Italy,2009,Cagliari,8529,22,450000,CM,1010053,705376,Italy,17,r,,Cagliari,1987-05-10,182,165
1549,Daniele Dessena,27672,Italy,2009,Cagliari,8529,22,450000,CM,924291,704753,Italy,56,y,,Cagliari,1987-05-10,182,165
1550,Daniele Dessena,27672,Italy,2009,Cagliari,8529,22,450000,CM,771193,704444,Italy,44,y,,Cagliari,1987-05-10,182,165
6767,Stefano Okaka Chuka,27696,Italy,2009,Fulham,9879,20,2900000,CF,1029873,659143,England,85,y,,Fulham,1989-08-09,185,198
6768,Stefano Okaka Chuka,27696,Italy,2009,Fulham,9879,20,2900000,CF,771557,704457,Italy,89,y,,Roma,1989-08-09,185,198
2340,Felipe,27719,Brazil,2009,Fiorentina,8535,25,75000,CB,934913,704785,Italy,9,y,,Fiorentina,1984-07-31,187,165
2341,Felipe,27719,Brazil,2009,Fiorentina,8535,25,75000,CB,953032,704981,Italy,88,y,,Fiorentina,1984-07-31,187,165
2342,Felipe,27719,Brazil,2009,Fiorentina,8535,25,75000,CB,994003,705326,Italy,19,y,,Fiorentina,1984-07-31,187,165
2343,Felipe,27719,Brazil,2009,Fiorentina,8535,25,75000,CB,1087289,704806,Italy,45,y,,Fiorentina,1984-07-31,187,165
