,player_name,player_api_id,player_nation,season,team_long_name,team_api_id,season_player_age,market_val_amnt,player_pos,match_api_id,country,elapsed,subtype,team,id,goal_type,elapsed_plus,birthday,height,weight
499,Antonio Candreva,11685,Italy,2009,Juventus,9885,22,2500000,RM,705343,Italy,10,distance,Juventus,994916,n,,1987-02-28,180,154
500,Antonio Candreva,11685,Italy,2009,Juventus,9885,22,2500000,RM,705128,Italy,66,shot,Juventus,963842,n,,1987-02-28,180,154
3188,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674547,Germany,47,shot,Borussia Dortmund,1051844,dg,,1984-11-13,187,185
3189,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674348,Germany,8,header,Borussia Dortmund,808964,n,,1984-11-13,187,185
3190,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674406,Germany,8,shot,Borussia Dortmund,880962,n,,1984-11-13,187,185
3191,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674406,Germany,10,shot,Borussia Dortmund,880967,n,,1984-11-13,187,185
3192,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674337,Germany,38,,Borussia Dortmund,786133,n,,1984-11-13,187,185
3193,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674367,Germany,53,shot,Borussia Dortmund,837328,dg,,1984-11-13,187,185
3194,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674367,Germany,54,loose_ball,Borussia Dortmund,837335,n,,1984-11-13,187,185
3195,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674501,Germany,74,,Borussia Dortmund,992210,n,,1984-11-13,187,185
3196,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674501,Germany,77,,Borussia Dortmund,992250,n,,1984-11-13,187,185
3197,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674443,Germany,55,shot,Borussia Dortmund,935610,n,,1984-11-13,187,185
3198,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674575,Germany,47,,Borussia Dortmund,1077705,n,,1984-11-13,187,185
3199,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674558,Germany,27,,Borussia Dortmund,1057338,n,,1984-11-13,187,185
3200,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674558,Germany,62,,Borussia Dortmund,1057985,n,,1984-11-13,187,185
3201,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674558,Germany,78,,Borussia Dortmund,1058061,n,,1984-11-13,187,185
3202,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674449,Germany,57,shot,Borussia Dortmund,945703,n,,1984-11-13,187,185
3203,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674357,Germany,90,shot,Borussia Dortmund,819609,n,1.0,1984-11-13,187,185
3204,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674507,Germany,50,shot,Borussia Dortmund,1005121,n,,1984-11-13,187,185
3205,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674507,Germany,61,shot,Borussia Dortmund,1005224,n,,1984-11-13,187,185
3206,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674339,Germany,20,shot,Borussia Dortmund,802579,n,,1984-11-13,187,185
3207,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674416,Germany,19,,Borussia Dortmund,887585,n,,1984-11-13,187,185
3208,Lucas Barrios,18576,Paraguay,2009,Borussia Dortmund,9789,25,250000,CF,674397,Germany,13,,Borussia Dortmund,864680,n,,1984-11-13,187,185
1339,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,684748,Spain,62,,Real Valladolid,848552,n,,1988-10-07,187,187
1340,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,684629,Spain,48,,Real Valladolid,770780,n,,1988-10-07,187,187
1341,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,685110,Spain,42,header,Real Valladolid,1042513,n,,1988-10-07,187,187
1342,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,684665,Spain,60,,Real Valladolid,789628,n,,1988-10-07,187,187
1343,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,684697,Spain,77,shot,Real Valladolid,814969,n,,1988-10-07,187,187
1344,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,684932,Spain,22,,Real Valladolid,954546,n,,1988-10-07,187,187
1345,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,684761,Spain,27,,Real Valladolid,859874,n,,1988-10-07,187,187
1346,Diego Costa,19243,Spain,2009,Real Valladolid,10281,21,6000000,CF,684761,Spain,49,,Real Valladolid,859953,n,,1988-10-07,187,187
3892,Nikola Kalinic,21613,Croatia,2009,Blackburn Rovers,8655,21,1500000,CF,658964,England,76,header,Blackburn Rovers,929769,n,,1988-01-05,187,176
3893,Nikola Kalinic,21613,Croatia,2009,Blackburn Rovers,8655,21,1500000,CF,658710,England,90,shot,Blackburn Rovers,822951,dg,1.0,1988-01-05,187,176
3894,Nikola Kalinic,21613,Croatia,2009,Blackburn Rovers,8655,21,1500000,CF,659081,England,41,shot,Blackburn Rovers,963007,n,,1988-01-05,187,176
665,Ben Watson,22991,England,2009,Wigan Athletic,8528,24,250000,CM,659159,England,80,shot,Wigan Athletic,1051417,n,,1985-07-09,177,152
1244,David Nugent,23190,England,2009,Burnley,8191,24,200000,CF,659020,England,14,shot,Burnley,941183,n,,1985-05-02,180,179
1245,David Nugent,23190,England,2009,Burnley,8191,24,200000,CF,658942,England,52,header,Burnley,988819,n,,1985-05-02,180,179
1246,David Nugent,23190,England,2009,Burnley,8191,24,200000,CF,658631,England,67,header,Burnley,762482,n,,1985-05-02,180,179
1247,David Nugent,23190,England,2009,Burnley,8191,24,200000,CF,658631,England,86,shot,Burnley,762530,n,,1985-05-02,180,179
1248,David Nugent,23190,England,2009,Burnley,8191,24,200000,CF,658923,England,56,header,Burnley,893331,n,,1985-05-02,180,179
1249,David Nugent,23190,England,2009,Burnley,8191,24,200000,CF,659105,England,50,shot,Burnley,980670,n,,1985-05-02,180,179
1872,Felix Bastians,23587,Germany,2009,SC Freiburg,8358,21,275000,CB,674441,Germany,66,shot,SC Freiburg,936654,n,,1988-05-09,187,183
1873,Felix Bastians,23587,Germany,2009,SC Freiburg,8358,21,275000,CB,674400,Germany,27,,SC Freiburg,864710,o,,1988-05-09,187,183
4651,Scott Dann,23837,England,2009,Birmingham City,8658,22,1500000,CB,658944,England,63,,Birmingham City,902201,o,,1987-02-14,190,172
4656,Scott Sinclair,23991,England,2009,Wigan Athletic,8528,20,1500000,LW,658686,England,87,header,Wigan Athletic,785684,n,,1989-03-25,177,152
1962,Fraizer Campbell,24157,England,2009,Sunderland,8472,22,700000,CF,659104,England,22,distance,Sunderland,1010120,n,,1987-09-13,172,183
1963,Fraizer Campbell,24157,England,2009,Sunderland,8472,22,700000,CF,658943,England,1,shot,Sunderland,987257,n,,1987-09-13,172,183
1964,Fraizer Campbell,24157,England,2009,Sunderland,8472,22,700000,CF,659119,England,88,shot,Sunderland,1004312,n,,1987-09-13,172,183
1965,Fraizer Campbell,24157,England,2009,Sunderland,8472,22,700000,CF,659161,England,25,shot,Sunderland,1047578,n,,1987-09-13,172,183
3067,Leonardo Bonucci,24235,Italy,2009,Bari,9976,22,8000000,CB,704798,Italy,5,,Bari,933329,n,,1987-05-01,190,190
