"player_name";"player_api_id";"player_nation";"season";"team_long_name";"team_api_id";"season_player_age";"market_val_amnt";"player_pos";"team_country"
"Aaron Cresswell";"155782";"England";"2014";"West Ham United";"8654";"25";"5000000";"LB";"England"
"Aaron Hunt";"27316";"Germany";"2014";"VfL Wolfsburg";"8721";"28";"250000";"AM";"Germany"
"Aaron Lennon";"30895";"England";"2015";"Everton";"8668";"28";"1100000";"RW";"England"
"Aaron Meijers";"101042";"Netherlands";"2012";"ADO Den Haag";"10217";"25";"325000";"LB";"Netherlands"
"Abdelaziz Barrada";"167027";"Morocco";"2011";"Getafe CF";"8305";"22";"200000";"AM";"Spain"
"Abdelhamid El Kaoutari";"128456";"Morocco";"2015";"Palermo";"8540";"25";"400000";"CB";"Italy"
"Abdou Diallo";"563215";"Senegal";"2014";"AS Monaco";"9829";"18";"25000000";"LB";"France"
"Abdoul Ba";"564712";"Mauritania";"2014";"RC Lens";"8588";"20";"250000";"CB";"France"
"Abdoul Karim Yoda";"67334";"France";"2014";"Getafe CF";"8305";"26";"250000";"RW";"Spain"
"Abdoulaye Ba";"191784";"Senegal";"2012";"FC Porto";"9773";"21";"500000";"CB";"Portugal"
"Abdoulaye Ba";"191784";"Senegal";"2013";"Vitória Guimarães";"7844";"22";"500000";"CB";"Portugal"
"Abdoulaye Ba";"191784";"Senegal";"2014";"Rayo Vallecano";"8370";"23";"500000";"CB";"Spain"
"Abdoulaye Diallo";"189181";"Senegal";"2015";"Stade Rennais FC";"9851";"23";"300000";"GK";"France"
"Abdul Majeed Waris";"196947";"Ghana";"2015";"FC Lorient";"8689";"24";"2000000";"CF";"France"
"Abiola Dauda";"114503";"Nigeria";"2014";"Vitesse";"8277";"26";"250000";"CF";"Netherlands"
"Abraham Minero";"213695";"Spain";"2011";"Real Zaragoza";"8394";"25";"50000";"LB";"Spain"
"Abraham Minero";"213695";"Spain";"2014";"SD Eibar";"8372";"28";"50000";"LB";"Spain"
"Achraf Lazaar";"293235";"Morocco";"2014";"Palermo";"8540";"22";"300000";"LB";"Italy"
"Adam Hlousek";"89240";"Czech Republic";"2014";"VfB Stuttgart";"10269";"26";"300000";"LB";"Germany"
"Adam Lallana";"37234";"England";"2014";"Liverpool";"8650";"26";"4000000";"AM";"England"
"Adama Ba";"287224";"Mauritania";"2013";"SC Bastia";"7794";"20";"250000";"RW";"France"
"Adama Soumaoro";"357881";"France";"2013";"LOSC Lille";"8639";"21";"4000000";"CB";"France"
"Adel Taarabt";"47394";"Morocco";"2013";"Fulham";"9879";"24";"4000000";"CM";"England"
"Adel Taarabt";"47394";"Morocco";"2014";"Queens Park Rangers";"10172";"25";"4000000";"CM";"England"
"Adem Ljajic";"155738";"Serbia";"2013";"Roma";"8686";"22";"3800000";"AM";"Italy"
"Adem Ljajic";"155738";"Serbia";"2015";"Inter";"8636";"24";"3800000";"AM";"Italy"
"Adil Auassar";"45816";"Netherlands";"2011";"RKC Waalwijk";"10219";"25";"275000";"DM";"Netherlands"
"Adil Rami";"77741";"France";"2011";"Valencia CF";"10267";"26";"250000";"CB";"Spain"
"Adil Rami";"77741";"France";"2014";"Milan";"8564";"29";"250000";"CB";"Italy"
"Adil Rami";"77741";"France";"2015";"Sevilla FC";"8302";"30";"250000";"CB";"Spain"
"Admir Mehmedi";"132844";"Switzerland";"2013";"SC Freiburg";"8358";"22";"2500000";"SS";"Germany"
"Admir Mehmedi";"132844";"Switzerland";"2014";"SC Freiburg";"8358";"23";"2500000";"SS";"Germany"
"Admir Mehmedi";"132844";"Switzerland";"2015";"Bayer 04 Leverkusen";"8178";"24";"2500000";"SS";"Germany"
"Adnan Januzaj";"449241";"Belgium";"2013";"Manchester United";"10260";"18";"12000000";"RW";"England"
"Adnan Januzaj";"449241";"Belgium";"2015";"Manchester United";"10260";"20";"12000000";"RW";"England"
"Adnane Tighadouini";"261599";"Morocco";"2015";"Málaga CF";"9864";"23";"300000";"LW";"Spain"
"Adrian Mariappa";"23358";"Jamaica";"2012";"Reading";"9798";"26";"300000";"CB";"England"
"Adrian Mariappa";"23358";"Jamaica";"2013";"Crystal Palace";"9826";"27";"300000";"CB";"England"
"Adrian Stoian";"168047";"Romania";"2012";"Chievo Verona";"8533";"21";"150000";"LW";"Italy"
"Adriano";"33992";"Brazil";"2010";"FC Barcelona";"8634";"26";"350000";"LB";"Spain"
"Adriano Facchini";"280969";"Brazil";"2011";"Gil Vicente FC";"9764";"28";"50000";"GK";"Portugal"
"Adrien Hunou";"447107";"France";"2013";"Stade Rennais FC";"9851";"19";"3500000";"CF";"France"
"Adrien Rabiot";"352879";"France";"2012";"Paris Saint-Germain";"9847";"17";"30000000";"CM";"France"
"Adrien Rabiot";"352879";"France";"2013";"Paris Saint-Germain";"9847";"18";"30000000";"CM";"France"
"Adrien Silva";"40930";"Portugal";"2010";"Sporting CP";"9768";"21";"3000000";"CM";"Portugal"
"Adrien Silva";"40930";"Portugal";"2012";"Sporting CP";"9768";"23";"3000000";"CM";"Portugal"
"Adrien Thomasson";"317062";"France";"2015";"FC Nantes";"9830";"22";"6000000";"AM";"France"
"Adryan";"263276";"Brazil";"2015";"FC Nantes";"9830";"21";"500000";"AM";"France"
"Afriyie Acquah";"213366";"Ghana";"2012";"Parma";"10167";"20";"1500000";"CM";"Italy"
"Afriyie Acquah";"213366";"Ghana";"2013";"Parma";"10167";"21";"1500000";"CM";"Italy"
"Afriyie Acquah";"213366";"Ghana";"2015";"Torino";"9804";"23";"1500000";"CM";"Italy"
"Agim Ibraimi";"118883";"North Macedonia";"2013";"Cagliari";"8529";"25";"250000";"RW";"Italy"
"Ahmed Hassan Koka";"403003";"Egypt";"2012";"Rio Ave FC";"7841";"19";"3400000";"CF";"Portugal"
"Ahmed Hassan Koka";"403003";"Egypt";"2015";"SC Braga";"10264";"22";"3400000";"CF";"Portugal"
"Akaki Gogia";"243127";"Germany";"2011";"FC Augsburg";"8406";"19";"650000";"RW";"Germany"
"Alan Henrique";"267728";"Brazil";"2015";"CD Nacional";"10214";"24";"100000";"CB";"Portugal"
"Alan Schons";"667963";"Brazil";"2015";"Moreirense FC";"8348";"22";"75000";"DM";"Portugal"
"Alassane Plea";"294859";"France";"2014";"OGC Nice";"9831";"21";"18000000";"CF";"France"
"Alberto Bueno";"41168";"Spain";"2009";"Real Valladolid";"10281";"21";"200000";"SS";"Spain"
"Alberto Bueno";"41168";"Spain";"2013";"Rayo Vallecano";"8370";"25";"200000";"SS";"Spain"
"Alberto Bueno";"41168";"Spain";"2015";"FC Porto";"9773";"27";"200000";"SS";"Portugal"
"Alberto Moreno";"314605";"Spain";"2014";"Liverpool";"8650";"22";"2500000";"LB";"England"
"Alberto Paloschi";"109121";"Italy";"2011";"Chievo Verona";"8533";"21";"800000";"CF";"Italy"
